Iteration	Equisetales_sigma2	Psilotales_sigma2	Ophioglossales_sigma2	Marattiales_sigma2	Osmundales_sigma2	Gleicheniales_sigma2	Hymenophyllales_sigma2	Schizaeales_sigma2	Salviniales_sigma2	Cyatheales_sigma2	Polypodiales_sigma2	Node_0_sigma2	Node_1_sigma2	Node_2_sigma2	Node_3_sigma2	Node_4_sigma2	Node_5_sigma2	Node_6_sigma2	Node_7_sigma2	Node_8_sigma2	Node_9_sigma2	Node_0_trait	Node_1_trait	Node_2_trait	Node_3_trait	Node_4_trait	Node_5_trait	Node_6_trait	Node_7_trait	Node_8_trait	Node_9_trait	ll
1	14358.095	12666.359	14972.89	12357.766	13186.828	9971.137	13801.199	8774.434	18717.273	16141.315	14581.059	16665.518	28601.387	17253.639	7019.5664	11536.316	11554.087	11618.894	14198.629	27452.879	15359.701	321.7675	330.45972	382.18936	327.8568	330.15652	310.78482	304.65796	291.2495	230.749	221.49045	-75.58263
2	13024.351	16396.99	12758.936	8490.04	15426.2	19070.973	15916.519	20368.18	11234.172	10169.895	10746.734	10426.537	5751.2593	11371.769	28121.6	17279.771	14643.922	16991.96	14081.378	6822.83	13432.445	292.21225	294.9332	329.84543	287.69836	294.91232	275.08667	283.13892	246.0372	223.9567	213.21968	-74.915794
3	14214.982	14561.4795	13962.552	17067.205	10700.561	10918.803	13475.453	8559.926	16615.654	20297.906	16689.691	14399.946	16723.932	14583.284	5894.5005	12889.798	13508.045	12391.317	14193.214	24957.494	8713.668	271.1482	296.8504	345.75684	299.74048	315.48706	298.74072	296.37204	281.31628	227.59662	223.22684	-75.93617
4	18477.611	14277.602	15557.587	11810.14	10277.927	10263.646	15093.648	8019.8696	17294.477	26506.148	16950.527	17674.508	16200.891	12948.654	5852.87	13352.467	13611.458	12208.414	16494.088	15540.519	9131.933	245.71184	277.02142	331.35742	280.65448	300.9585	285.2865	281.81747	268.34128	235.54945	231.27126	-76.297424
5	10823.268	11539.937	14021.826	9959.011	18852.547	9021.635	15987.502	18202.422	8331.952	8908.8125	14983.817	17230.7	13437.596	9602.876	9431.502	13417.018	18661.912	15258.0	12293.504	13224.951	14380.638	401.19577	379.32477	403.46872	362.9669	342.68918	292.6485	282.8717	262.96222	214.66528	203.83154	-75.78153
6	16828.838	18003.264	12011.383	18072.451	13117.6045	22536.555	12511.916	11689.959	21846.74	10464.701	10009.409	13290.355	14842.251	16366.713	19595.248	9984.64	10507.883	14873.878	15996.76	15202.052	14341.55	222.17961	253.49945	307.04562	271.9237	289.87372	285.79395	298.64874	264.00156	227.61594	215.79762	-75.70535
7	13541.038	10235.075	13107.4	10469.702	19966.852	11965.719	11114.785	11322.109	14716.499	9987.878	7679.9272	19489.725	11428.434	12934.547	15762.907	12013.719	19770.889	9063.892	14780.439	11896.73	13663.507	297.23004	306.7417	366.92322	301.9698	305.35736	284.6161	288.57642	259.89792	225.63705	214.15468	-75.03881
8	11643.629	10842.524	14354.919	15691.064	21445.916	10952.781	11962.387	20977.61	20492.523	8945.472	8579.777	17197.375	14201.975	11925.697	16325.106	12733.117	16860.549	10928.888	19111.062	13357.867	17735.834	315.79922	323.18207	373.41364	315.82452	314.01468	291.58282	292.47714	260.60132	226.75699	211.3009	-75.33466
9	16524.979	18813.033	12734.623	12313.451	8421.905	14169.4375	18169.486	8530.043	10365.841	20332.973	17618.232	11188.304	14106.526	16444.738	14323.248	15486.488	7995.8135	17925.775	11258.819	8584.336	11492.031	296.9074	306.91956	340.37836	308.76874	322.41223	305.20874	300.8526	280.16345	249.8155	242.03952	-75.99752
10	12397.901	11132.554	14649.286	12975.578	10455.653	9119.504	11030.382	18635.182	17949.143	9176.867	8809.565	17818.566	13663.533	11996.42	14952.556	10890.111	22973.95	9011.995	14382.365	11769.112	15277.146	408.35504	398.24106	423.1528	383.65164	378.22815	320.52618	315.84158	286.77197	246.83902	228.5765	-76.25486
11	14971.848	15239.967	15171.391	10067.481	12439.092	21643.201	18562.318	11198.018	10408.317	17490.164	19588.24	10287.135	15927.876	16461.45	13365.908	18522.99	7597.3335	15009.375	13809.494	17434.176	10375.533	325.18997	327.51868	368.83093	322.2767	327.95105	315.0365	316.52115	286.5154	231.93942	225.84717	-75.402275
12	11519.551	15928.787	15324.191	17420.447	14911.956	9653.396	12299.836	7071.856	14251.115	11601.975	12927.123	7333.7188	11227.328	9024.156	16426.588	12627.715	23914.633	16457.133	11860.639	8782.378	16933.887	384.2135	376.67	391.03055	363.0879	355.43594	305.09384	299.70648	280.4043	250.2226	233.35315	-75.359215
13	16361.984	14511.669	12674.201	10786.44	17738.945	16801.191	18209.072	24112.43	13493.817	16252.36	14489.681	18850.264	17635.766	19332.355	8388.031	10796.752	8693.92	7899.9316	19048.906	22327.207	12122.641	199.23103	234.03862	316.26193	239.41045	253.97931	250.46764	253.92497	232.77193	195.08301	192.0138	-75.72428
14	12268.791	20676.562	9885.317	14292.792	13231.649	11443.833	15071.584	8978.548	12735.85	13666.048	13876.862	13136.495	10602.505	11923.2295	17141.783	23071.676	19359.957	20220.873	11676.846	6618.649	19743.473	255.96811	267.27606	297.834	272.29962	292.45877	268.71097	269.98206	251.41356	232.28941	219.03358	-75.1285
