Species	WGD-pairs	TD-pairs	PD-pairs	TRD-pairs	DSD-pairs	Total-pairs	WGD-pairs-percentage	TD-pairs-percentage	PD-pairs-percentage	TRD-pairs-percentage	DSD-pairs-percentage
Adiantum_capillus-veneris	75	2924	989	611	47344	51943	0.0014438904183431839	0.056292474443139597	0.01904010164988545	0.011762893941435804	0.9114606395471959
Amborella_trichopoda	87	1296	1064	511	36299	39257	0.002216165269888173	0.033013220572127265	0.027103446519092137	0.013016786815090303	0.9246503808238021
Anthoceros_angustus	147	498	436	1135	10019	12235	0.01201471189211279	0.04070290151205558	0.03563547200653862	0.09276665304454434	0.8188802615447487
Aristolochia_fimbriata	4040	1170	542	2132	14503	22387	0.18046187519542592	0.05226247375709117	0.02421047929602001	0.09523384106847724	0.6478313306829857
Botryococcus_braunii	6	449	540	4	22244	23243	0.0002581422363722411	0.019317644021856043	0.023232801273501698	0.00017209482424816074	0.9570193176440218
Chara_braunii	1217	1446	914	13794	48963	66334	0.01834654928091175	0.02179877589169958	0.013778755992402086	0.20794765881749933	0.7381282600174872
Chlamydomonas_reinhardtii	394	402	762	728	18606	20892	0.018858893356308633	0.019241815048822514	0.03647329121194716	0.034845874018763164	0.8905801263641585
Chlorokybus_atmophyticus	0	77	73	0	234	384	0.0	0.20052083333333334	0.19010416666666666	0.0	0.609375
Chromochloris_zofingiensis	89	226	227	256	10811	11609	0.007666465673184598	0.01946765440606426	0.019553794469807907	0.022051856318373676	0.9312602291325696
Coccomyxa_subellipsoidea	27	174	132	113	6097	6543	0.0041265474552957355	0.026593305823016965	0.020174232003668042	0.01727036527586734	0.931835549442152
Cycas_panzhihuaensis	1891	4360	1407	3245	21731	32634	0.05794570080284366	0.1336029907458479	0.043114543114543116	0.0994361708647423	0.665900594472023
Dunaliella_salina	0	130	210	0	7295	7635	0.0	0.017026850032743943	0.0275049115913556	0.0	0.9554682383759004
Klebsormidium_nitens	65	348	248	195	23512	24368	0.0026674326986211427	0.01428102429415627	0.010177281680892974	0.008002298095863428	0.9648719632304662
Marchantia_polymorpha	12	810	408	18	21022	22270	0.0005388414907947912	0.03637180062864841	0.0183206106870229	0.0008082622361921868	0.9439604849573417
Mesostigma_viride	0	101	27	0	12936	13064	0.0	0.007731169626454378	0.002066748315982854	0.0	0.9902020820575628
Mesotaenium_endlicherianum	11	257	189	22	7741	8220	0.001338199513381995	0.03126520681265207	0.022992700729927006	0.00267639902676399	0.941727493917275
Micromonas_pusilla	0	67	69	0	7100	7236	0.0	0.009259259259259259	0.009535655058043118	0.0	0.9812050856826976
Ostreococcus_lucimarinus	262	175	31	349	1836	2653	0.09875612514134942	0.06596306068601583	0.011684885035808518	0.131549189596683	0.6920467395401433
Pedinomonas_minor	464	361	313	639	2732	4509	0.10290530051009093	0.08006209802616988	0.06941672211133289	0.14171656686626746	0.6058993124861388
Penium_margaritaceum	161	707	185	757	108697	110507	0.0014569212810048233	0.006397784755716832	0.0016741020930800764	0.00685024478087361	0.9836209470893247
Prasinoderma_coloniale	15	20	19	2	4209	4265	0.0035169988276670576	0.004689331770222743	0.004454865181711606	0.0004689331770222743	0.9868698710433763
Selaginella_moellendorffii	2167	633	1049	4430	6888	15167	0.14287598074767588	0.04173534647590163	0.069163315091976	0.29208149271444583	0.45414386497000064
Spirogloea_muscicola	18826	61	75	3064	2099	24125	0.7803523316062176	0.002528497409326425	0.0031088082901554403	0.12700518134715025	0.08700518134715025
Takakia_lepidozioides	9416	449	505	5839	6331	22540	0.41774622892635316	0.019920141969831412	0.022404614019520853	0.2590505767524401	0.2808784383318545
Volvox_carteri	7	320	286	31	9871	10515	0.0006657156443176414	0.030432715168806468	0.02719923918212078	0.0029481692819781267	0.938754160722777
Zygnema_cf._cylindricum	11	559	215	21	24778	25584	0.00042995622263914947	0.02184959349593496	0.008403689806128831	0.0008208255159474672	0.9684959349593496
Zygnema_circumcarinatum_SAG_698-1b	7	307	242	89	10012	10657	0.0006568452660223327	0.02880735666697945	0.022708079196772073	0.008351318382283944	0.9394764004879422
Zygnema_circumcarinatum_UTEX_1559	6	232	298	73	12601	13210	0.0004542013626040878	0.017562452687358062	0.02255866767600303	0.0055261165783497355	0.9538985616956851
Zygnema_circumcarinatum_UTEX_1560	6	241	324	102	9543	10216	0.0005873140172278779	0.023590446358653094	0.031714956930305405	0.009984338292873924	0.9341229444009397
